pegon,latin
سࣤبَاڮِيْهَانْ,sěbagian
اَڮࣤڠْ,agěṅ
بَوْتࣤنْ,botěn
بَابْ٢اِڠْكَڠْ,bab2iṅkaṅ
مَاڮࣤفَؤْاَنْ,magěpa`an
كࣤلَايَانْ,kělayan
اِيْفُوْن,ipun
فَارَا,para
سُوْنَنْ٢,sunan2
فࣤمࣤدَارْ,pěmědar
اَڮَامِىْ,agami
اِسْلَامْ,islam
اِنْدَوْنِسِيَا,indonisia
عُمُوْم,'umum
تَانَهْ,tanah
خُصُوْص,ḵuṣuṣ
مَوْڠكَا,moṅka
سࣤجَاتَوْس,sějatos
كِيْنَا,kina
مِيْلَا,mila
رَاجَا٢,raja2
فࣤرْسَاسَتْ,pěrsasat
مَيْه,meh
سࣤدَايَا,sědaya
تَنْسَهْ,tansah
كَنْطِىْ,kanṯi
دَيْنِيْڠ,deniṅ
فࣤڠَنْجُوْر٢,pěṅanjur2
فࣤرَامِيْلَا,pěramila
سَڠْكِڠْ,saṅkiṅ
وَوْنتࣤنْ,wontěn
رِسَالَهْ,risalah
اَلِيْت,alit
فࣤنُوْلِيْس,pěnulis
كࣤفَيْڠِيْن,kěpeṅin
بَاࢮَيْ,baḍe
ۑُوْلِيْك,ñulik
سࣤكࣤࢮِيْك,sěkěḍik
بَابْ٢,bab2
مَڮࣤفَؤْاَنْ,magěpa`an
سُوْنَنْ,sunan
كَيْڠِيْڠَاكَڠْڮَىْ,keṅiṅakaṅge
بُومْبُوْنِيْفُوْن,bumbunipun
اُسْتَاذْ,ustaḋ
مُوْچَالْ,mucal
دَاتࣤڠْ,datěṅ
تَلْمِيْذ٢اِيْفُوْن,talmiḋ2ipun
سَانَيْس,sanes
مُوْڮِىْ٢,mugi2
وَوْنتࣤنَاڮِيْنَا,wontěnagina
فَائِدَاهِيْفُوْن,faidaipun
صَفَرُ,ṣaparu
الْخَيْرِ,al-ḵeri
١٣٧٢,1372
بِشْرِىْ,biśri
مُصْطَفٰى,muṣṯafā
رَاتُوْ,ratu
چࣤمْڤَا,cěmpa
نَلِيْكَا,nalika
كُوْرَاڠْ,kuraṅ
لࣤوِيْه,lěwih
تَهُوْن,taun
١٣٠٠م,1300m
كَڠْ,kaṅ
جُوْمࣤنࣤڠْ,juměněṅ
اِيْكُوْ,iku
جࣤجُوْلُؤْ,jějulu`
رَاجَا,raja
كُوْنطَارَا,kunṯara
كَافِرْ,kafir
بِنَاطَارَا,binaṯara
كَاڮُوْڠَنْ,kaguṅan
فُوْتࣤرَا,putěra
٣,3
١,1
دَارَاوَاتِىْ,darawati
مُوْردَا,murda
نِيْڠ,niṅ
رُوْم,rum
٢,2
دَيْوِىْ,dewi
چَوْندࣤرَا,conděra
وُوْلَنْ,wulan
رَادَيْن,raden
چِيْڠكَارَا,ciṅkara
كُوْچَاڤَا,kucapa
سَالَهْ,salah
سَاوِيْجِيْنَىْ,sawijine
مُبَلِّغْ,muballiġ
عَرَبْ,'arab
اَسْمَا,asma
سَيِّدْ,sayyid
اِبْرَاهِيمْ,ibraim
اَسْمَرْقَنْدِىْ,asmarqandi
تࣤمبَىْ,těmbe
مَشْهُوْر,maśhur
كَارَانْ,karan
اِبْرَاهِيْم,ibraim
اَسْمَارَا,asmara
رَاوُوْه,rawuh
فࣤرْلُوْ,pěrlu
تَبْلِيْغ,tabliġ
ڠَاجَاءْ٢,ṅaja`2
سَاڠْ,saṅ
سُوْفَيَا,supaya
كࣤرْصَا,kěrṣa
ڠࣤرُوْڠكࣤبِىْ,ṅěruṅkěbi
اَڮَامَا,agama
كࣤرْسَانِيْڠ,kěrsaniṅ
فࣤڠَيْرَانْ,pěṅeran
مࣤلࣤبُوْ,mělěbu
ڠَنْتِىْ,ṅanti
اَدࣤكْ,aděk
مَسْجِدْ,masjid
اَنْࢮَاوُوْهَاكࣤنْ,anḍawuhakěn
مَوْلَانَا,molana
مࣤࢮَارَكࣤنْ,měḍarakěn
اَخِيْر٢,aḵir2
كَادَاهُوْفَكࣤنْ,kadaupakěn
اَڠْسَالْ,aṅsal
فُوْتࣤرَانَىْ,putěrane
فࣤڠْڮُوْلُوْ,pěṅgulu
چَوْندࣤرَاوُوْلَنْ,conděrawulan
دَيْنَىْ,dene
فࣤمْبَاجࣤڠْ,pěmbajěṅ
مُوْردَانِڠْرُوْم,murdaniṅrum
كَادَاهُوْفَاكࣤنْ,kadaupakěn
فࣤرَابُوْ,pěrabu
كَرْطَا,karṯa
وِيجَايَا,wijaya
مَجَافَاهِيْت,majafait
دَادِىْ,dadi
كَارَوْ,karo
كَرْطَاوِيْجَايَا,karṯawijaya
كَافࣤرْنَهْ,kapěrnah
فࣤرِيْفَيْهَانْ,pěripehan
ڮَرْوَا,garwa
فࣤنْدِيْطَا,pěndiṯa
رَادَينْ,raden
رَحْمَةْ,raẖmat
سِيْتِىْ,siti
زَيْنَبْ,zenab
وِيْجَايَا,wijaya
اَكَيهْ,akeh
بَاڠَةْ,baṅat
كَاچَرِيْطَا,kacariṯa
ڮَرْوَانَىْ,garwane
فَادࣤمِىْ,paděmi
اَرْيَادَمَارْ,aryadamar
اَدِىْ,adi
فَاتِىْ,pati
فَلَيْمبَاڠْ,palembaṅ
فُوْتࣤرِىْ,putěri
هَادِىْ,hadi
ڮَرْوَااَدِىْ,garwaadi
دَايَانِيْڠرَاتْ,dayaniṅrat
فࣤڠْڮِيڠْ,fěṅgiṅ
لࣤمْبُوْفࣤتࣤڠْ,lěmbufětěṅ
مࣤدُوْرَا,mědura
ڮُوڮُورْ,gugur
اِيْبُوْ,ibu
فَانَارَاڮَا,fanaraga
بࣤطَرَا,běṯara
كَاتُوْڠ,katuṅ
لُوَانُوْ,luanu
بَاڮَلَيْنْ,bagalen
اَسمَا,asma
جَارَانْ,jaran
ڤَنُوْلَيْه,panuleh
سَمْفَاڠْ,samfaṅ
مَدُوْرَا,madura
مَالَيْهْ,maleh
حَسَنْ,ẖasan
تࣤمْبَىْ,těmbe
اَخِيْر,aḵir
فَتَحْ,pataẖ
اِيَا,ia
اِيْكِىْ,iki
ڠࣤدࣤكَاكࣤنْ,ṅěděkakěn
كࣤرَاجَاأَنْ,kěrajaan
اِسْلاَمْ,islam
كَاوِيْتَانْ,kawitan
بِنْطَارَا,binṯara
دࣤمَاءْ,děma`
مُوْرِيْه,murih
سَمْفُورْنَانِىْ,sampurnani
چَارِيْتَا,carita
چَوْبَا,coba
دَاءْ,da`
تࣤرَاڠَاكَىْ,těraṅake
نَسَبْ٢بِىْ,nasab2bi
بِنْ,bin
سُوْرُوْه,suruh
مَجَالࣤڠْكَا,majalěṅka
مُوْندِىْ,mundi
وَاڠِىْ,waṅi
فࣤجَاجَارَانْ,pějajaran
سَارِىْ,sari
لَالِيَّانْ,laliyyan
رَاوِيْس,rawis
رࣤڠْڮَا,rěṅga
جࣤڠْڮَالَا,jěṅgala
طࣤبُوْ,ṯěbu
لࣤمْبُوْ,lěmbu
اَمِيْلُوْهُورْ,amiluhur
رࣤسِىْ,rěsi
ڮࣤنْطَيُوْ,gěnṯayu
ڮَنْدِيْهَاوَانْ,gandihawan
سࣤرِيْمَا,sěrima
فُوڠْڮُوْڠ,fuṅguṅ
سِيْلَاجَالَوْ,silajalo
فَوْنچَا,ponca
دࣤرِيْيَا,děria
چِيْتࣤرَاسُوْمَا,citěrasuma
سُوْمَاوِيْجِيْتࣤرَا,sumawijitěra
ڮࣤنْدࣤرَايَانَا,gěnděrayana
جَايَا,jaya
اَمِيْجَايَا,amijaya
دَرْمَا,darma
هُوْدَايَانَا,hudayana
ڤَارِىْ,pari
كࣤسِيْت,kěsit
اَوْڠكَا,oṅka
اَرْجُوْنَا,arjuna
ڤَنْࢮُوْ,panḍu
ڠࣤسْطِيْنَا,ṅěsṯina
هَابِىْ,habi
وَاصَا,waṣa
فُوْلَاصَارَا,fulaṣara
سَاحࣤرِىْ,saẖěri
سࣤكُوْتࣤرࣤمْ,sěkutěrěm
سُوْتَفَا,sutafa
مَنَاوَاسَا,manawasa
مَارِڮࣤنَا,marigěna
يَاڠْ,yaṅ
تࣤرُوسْطِيْلِىْ,těrusṯili
سࣤرِيْكَاتِىْ,sěrikati
وِسْنُوْ,wisnu
ڮُوْرُوْ,guru
تُوْڠڮَالْ,tuṅgal
وࣤنِيْڠ,wěniṅ
وࣤنَڠْ,wěnaṅ
نُورْرَاصَا,nurraṣa
نُورُچَهْيَا,nurucahya
نَبِىْ,nabi
آدَمْ,ādam
عَليْهِ,'alihi
السَّلَامْ,as-salam
كَاڮُوْڠَانْ,kaguṅan
دُوْلُورْ,dulur
اِسْحٰقْ,isẖāq
اَسْفَادِىْ,asfadi
عَبْدُ,'abdu
الْمَجِيْدْ,al-majid
مُحَمَّدْ,muẖammad
جُمَادَى,jumade
الْكُبْرٰى,al-kubrā
زَيْنُ,zainu
الْحُسَيْن,al-ẖusen
الْعَالِمْ,al-'alim
الْعَابِدِينْ,al-'abidin
حُسَيْن,ẖusain
فَاطِمَةْ,faṯimah
بِنْتِ,binti
اللّٰهْ,allāh
صَلَّى,ṣalla
اللّٰهُ,allāhu
عَلَيْهِ,'alaihi
سَلَّمْ,sallam
اِبْنِ,ibni
عَبْدِ,'abdi
الْمُطَّلِبْ,al-muṯṯalib
هَاشِمْ,haśim
مَنَافْ,manaf
قُصَيِّ,quṣayyi
كِلَابْ,kilab
مُرَّةْ,murrah
كَعْبٍ,ka'bin
لُؤَيٍّ,luayyin
غَالِبْ,ġalib
فِهْرٍ,fihrin
مَالِكْ,malik
النَّضَرْ,an-naḏar
كِنَانَةْ,kinanah
حُزَيْمَةْ,ẖuzaimah
مُدْرِكَةْ,mudrikah
اِلْيَاسْ,ilyas
مُضَرْ,muḏar
نِزَارْ,nizar
مَعَدٍّ,ma'addin
عَدْنَانْ,'adnan
سَأْتࣤرُوْسَىْ,sa`těruse
تࣤكَانْ,těkan
اِسْمَاعِيْل,isma'il
عَلَيْهِمَا,'alaihima
نُوحْ,nuẖ
اِدْرِيْس,idris
اَنْوَاسْ,anwas
شِيْث,śiṫ
السّلَامْ,as-salam
ڠَمْفِيْل,ṅamfil
كࣤرَامَا,kěrama
چَوْندࣤرَاوَاتِىْ,conděrawati
اَرْيَا,arya
تَيْجَا,teja
طُوْبَانْ,ṯuban
اَوْلَيْه,oleh
٥,5
شَرِيْعَةْ,śari'at
مُطْمَئِنَّةْ,muṯmainnah
حَفْصَةْ,ẖafṣat
٤,4
قَاسِمْ,qasim
اُوْڮَا,uga
كَرِيْمَةْ,karimat
كِىْ,ki
بَاڠْ,baṅ
كُوْنِيْڠ,kuniṅ
مُرْتَسِيَهْ,murtasiyah
مُرْتَسِمَهْ,murtasimah
جُمَادَىْ,jumade
الْقَادِرْ,al-qadir
تࣤمْبِىْ,těmbi
ڮُوْنُوْڠ,gunuṅ
جَاتِىْ,jati
چࣤرْبَوْن,cěrbon
سَارَةْ,sarat
ڤَاكُوْ,paku
ڮِيْرِىْ,giri
مِيْسَانَنْ,misanan
ڠَمْفَيلْ,ṅamfel
سُوْرَابَيَا,surabaya
حَاجِ,ẖaji
عُثْمَانْ,'uṫman
مَنْيُوْرَانْ,manyuran
مَوْنࢮَالِيْكَا,monḍalika
ڤࣤنْدِيْطَا,pěndiṯa
ڠَمْفَيْل,ṅamfel
اَمِيْر,amir
ڠُوْدُوْڠ,ṅuduṅ
تُوْمࣤڠْڮُوْڠ,tuměṅguṅ
وِيْلَاتِكْطَا,wilatikṯa
سُوْجِنَةْ,sujinat
اَمِيْرحَاجِ,amirẖaji
ۑَاهِىْ,ñahi
ڮࣤدَىْ,gěde
تَوْنࢮَالَنْ,tonḍalan
خَلِيْفَةْ,ḵalifat
كَرْطَايَاسَا,karṯayasa
تَوْنࢮَا,tonḍa
دِىْ,di
تِيَاڠْ,tiaṅ
سَكِڠْ,sakiṅ
يَمَانْ,yaman
مُرِيْدْاِيفُوْنْ,muridipun
كَنْجࣤڠْ,kanjěṅ
ڠَمْفَيلْ,ṅamfel
كَاڮُوْڠَانْ,kaguṅan
صُغْرَا,ṣuġra
مُحْسِنْ,muẖsin
سُونَنْ,sunan
وِيْلِيْس,wilis
ڠَمْفَيْل,ṅamfel
مُرِيْداِيْفُوْن,muridipun
كَنْجࣤڠْ,kanjěṅ
اَمِيْر,amir
حَمْزَهْ,ẖamzah
مَلَاكَا,malaka
دِىْ,di
سَيِّدْ,sayyid
كَاڮُوڠَانْ,kaguṅan
دࣤرَاجَةْ,děrajat
سࣤدَايُوْ,sědayu
كࣤرَامَادَيْوِىْ,kěramadewi
صَفِيَّةْ,ṣafiyyah
فُوْتࣤرَانَيْ,putěrane
كَنْجࣤڠْ,kanjěṅ
فࣤڠَيْرَانْ,pěṅeran
تࣤرࣤڠْڮَانَا,těrěṅgana
سَنْدِىْ,sandi
وُرْيَانْ,wuryan
بَوْنَاڠْ,bonaṅ
هِيْرَاةْ,hirat
رَادَيْن,raden
جَاكَنْدَارْ,jakandar
دَيْوِيْ,dewi
رُوْحِيْلْ,ruẖil
فَاكُوْ,paku
ڮِيْرِيْ,giri
ڮࣤرْسِئْ,gěrsi`
سࣤتࣤڠَهَىْ,sětěṅahe
رِوَايَةْ,riwayat
اَسْمَانَىْ,asmane
عَيْنُ,'ainu
الْيَقِينْ,al-yaqin
فَاكُوْ,paku
اِيْبُوْدَيْوِىْ,ibudewi
سࣤكَرْࢮَاࢮُوْ,sěkarḍaḍu
بࣤلَامْبَڠَانْ,bělambaṅan
كࣤرَامَا,kěrama
مَاسْ,mas
ڤࣤرَابُوْ,pěrabu
مِيْسَانِيْ,misani
٣,3
ڮُوْوَا,gua
رَتْنَاوَاتِيْ,ratnawati
بِنْطَارَادࣤمَاءْ,binṯaraděma`
مُرْتَسِمَةْ,murtasimat
فࣤفُوْتࣤرَا,pěputěra
ڤُورْبَا,purba
بَاڮُوسْ,bagus
سِيْدَاكَالِىْ,sidakali
رَادَيْنْ,raden
كࣤنْࢮُوْرُهَانْ,kěnḍuruhan
دَيْوِىْ,dewi
رَاتِهْ,ratih
كࣤلَاهِيْرَانْ,kělairan
تُوڠْڮَالْ,tuṅgal
رَامَا,rama
سَيْجَىْ,seje
هِيْسَهْ,hisah
جَاكَنْدَارْ,jakandar
فࣤرِيْفِهَانْ,pěripihan
سُوْنَانْ,sunan
بَوْنَڠْ,bonaṅ
كَاڮُوْڠَنْ,kaguṅan
الْجَلِيْلْ,al-jalil
صُوْفِيَّهْ,ṣufiyyah
رَاديْن,radin
مَرَاتُوَانَىْ,maratuane
نَوَاڠْ,nawaṅ
سَاسِىْ,sasi
تَارُوْب,tarub
هِيْرَاهْ,hirah
شَهِيْد,śaid
كَالِىْ,kali
جَاڮَا,jaga
سَحُرْ,saẖur
سَعِيْد,sa'id
رُقَيَّةْ,ruqayyah
مُرْيَا,murya
سُوْجِيْنَةْ,sujinat
سَنْتࣤرِىْ,santěri
ڠَادِىْ,ṅadi
لَاڠُوْ,laṅu
ࢮࣤࢮُوْكُوْه,ḍěḍukuh
بَيْهِىْ,behi
قُدُوْس,qudus
رُحِيْلْ,ruẖil
جࣤڠْ,jěṅ
جࣤنَارْ,jěnar
جࣤفَارَا,jěfara
اَوْرَا,ora
بُوْفَاتِىْ,bupati
نَاوَاڠْ,nawaṅ
اَرُوْم,arum
بَنْجَارَانْ,banjaran
مُونْدِىْ,mundi
اِيْيَاڠَىْ,iaṅe
كَاڤِيْڠ,kapiṅ
تࣤلُوْ,tělu
سࣤدُوْلُوْر,sědulur
كَاكُوْڠ,kakuṅ
فَاتِيْهَىْ,patihe
فَجَاجَارَانْ,pajajaran
مࣤتَاهُوْن,mětaun
رَانْࢮُوْكُوْنِيْڠ,ranḍukuniṅ
ڮَالُوْه,galuh
تَنْدُوْرَانْ,tanduran
بَاعَةْ,ba'at
فࣤنَڠْڮُوْڠَانْ,pěnaṅguṅan
رَوْڠڮَا,roṅga
لَاوَيْ,lawe
لَاوَىْ,lawe
سِيْرَا,sira
وࣤنَاڠْ,wěnaṅ
لِيْنَا,lina
بَارِبِيْن,baribin
مَارَاتُوَانَىْ,maratuane
بَيْسَانَىْ,besane
بَارِبِيْنْ,baribin
اَيُوْ,ayu
مَدُوْرࣤتْنَا,madurětna
عَمْفَيْلْ,'amfel
رَامَانَىْ,ramane
تَارُوْبْ,tarub
سِيْهْ,sih
اَرُوْمْ,arum
يَا,ya
اِيْبُوْنَىْ,ibune
سࣤكَرْࢮَاࢮُوْ,sěkarḍaḍu
مِيْنَاءْ,mina`
سࣤمْبُوْيُوْ,sěmbuyu
بࣤلَامْبَاڠَنْ,bělambaṅan
فࣤرَاڮُوْلَوْ,pěragulo
بَمْبَاڠْ,bambaṅ
فࣤمَڠْڮࣤڠْ,pěmaṅgěṅ
وَاجَانَا,wajana
سِيُوْڠ,siuṅ
وَانَارَا,wanara
كَاچَارِيْطَا,kacariṯa
ڮَرْوَافࣤدْمِىْ,garwafědmi
هِيْمُوكْ,himuk
رࣤتْنَا,rětna
كُوْسُوْمَا,kusuma
نُوْلِىْ,nuli
اَمْفِيَانْ,amfian
سِيْجِىْ,siji
فࣤمࣤڠْڮࣤڠْ,pěmaṅgěṅ
رَيْه,reh
سࣤمَيْرُوْ,sěmeru
وَايَهْ,wayah
اَخِيْرَىْ,aḵire
وَايَاهَىْ,wayahe
كࣤرَاتَوْن,kěraton
كَچَارِيْطا,kacariṯa
رَادِيْن,radin
وِيْس,wis
بُوْكَاءْ,buka`
فࣤسَنْتࣤرَيْن,pěsantěren
دࣤنْطَا,děnṯa
فَنْجࣤنࣤڠَانَىْ,panjěněṅane
اِسْحَقْ,isẖaq
فَاسَائَىْ,fasae
دُوْلُوْرَىْ,dulure
مࣤࢮُوْن,měḍun
جَاوَا,jawa
سُوْمَدِيَا,sumadia
ڠِيْرَاسْ,ṅiras
ڠِيْرُوْسْ,ṅirus
تِيْلِئْ,tili`
فَوْنَاءَانْ,pona`an
نِيْتِهْ,nitih
فࣤرَاهُوْنَىْ,pěraune
جُوْرَاڮَانْ,juragan
وُوْس,wus
لَوْرَوْ,loro
كَفْلِىْ,kafli
تࣤرُوْس,těrus
ڠࣤنْچࣤرْ,ṅěncěr
نُوْجُوْ,nuju
صَلَاةْ,ṣalat
عَصَرْ,'aṣar
مَيْلُؤ,melu
مَأْمُوْم,ma`mum
نَمُوْڠ,namuṅ
اَنَا,ana
اَرَانْ,aran
وِيْرَاجَيَا,wirajaya
اَبُوْ,abu
هُرَيْرَةْ,hurerat
سَأْوُوْسَىْ,sa`wuse
بِيْصَا,biṣa
كࣤتࣤمُوْ,kětěmu
بَاڮَيْن,bagen
بِيْنَاڮَيْن,binagen
سَأْ,sa`
چُوْكُوْفَىْ,cukupe
كَينْدࣤلْ,kenděl
اِسْتِرَاحَةْ,istiraẖat
اَنْتَرَا,antara
وُوْلَانْ,wulan
فَامِيْت,pamit
اَرࣤفْ,arěp
نࣤرُوْسَاكَىْ,něrusake
تِيْندَاكَىْ,tindake
ڠَيْتَانْ,ṅetan
ڠِيْدُوْلْ,ṅidul
هِيَا,hia
مࣤدَارْ٢رَاكࣤنْ,mědar2rakěn
رَيْهنِيْڠ,rehniṅ
رُوْمَوْڠصَا,rumoṅṣa
كَاڠَيْلَانْ,kaṅelan
سَبَبْ,sabab
مَوْڠصَا,moṅṣa
فَنْچِىْ,panci
اَڮَامَانَىْ,agamane
وَوْڠ,woṅ
عُمُوْمَىْ,'umume
بُوْدَا,buda
هِنْࢮُوْ,hinḍu
بَنْجُوْر,banjur
طَافَا,ṯapa
تِيْرَاكَتْ,tirakat
سࣤلَاڠُوْ,sělaṅu
بَاۑُوْوَاڠِىْ,bañuaṅi
كُوْچَافَا,kucapa
اِسْتࣤرِىْ,istěri
لَاڮِىْ,lagi
ڮࣤرَاهْ,gěrah
سَاڠࣤةْ,saṅět
تَمْبَانِىْ,tambani
اَفَا٢,apa2
مَڠْسَهْ,maṅsah
نَاطَا,naṯa
ڠࣤتَوْءَاكَىْ,ṅěto`ake
سَيࣤمْبَارَا,sayěmbara
سَفَا٢,sapa2
سِيْڠ,siṅ
مَرَاسَاكَىْ,marasake
ڮࣤرَاهَىْ,gěrahe
فُونْࢮُوْت,punḍut
جَوْࢮَوْنَىْ,joḍone
بَكَالْ,bakal
فَارِيْڠِىْ,pariṅi
كࣤرَاجَاءَانْ,kěraja`an
سࣤفَارَوْ,sěparo
مِيْࢮَاڠࣤتْ,miḍaṅět
فࣤڠْڮَالِيْه,pěṅgalih
شُكُورْ,śukur
بَاڠࣤةْ,baṅět
يَيْنْ,yen
فِيْتُوْلُوْڠَىْ,pituluṅe
فَارࣤكْ,parěk
يَيْن,yen
اَفَا,apa
چِيْتَا٢نَىْ,cita2ne
ۑِيَارَاكَىْ,ñiarake
اِيْڠڮَالْ,iṅgal
كࣤلَاكْسَانَانْ,kělaksanan
اِيْڠڮَالِيْڠ,iṅgaliṅ
چَارِيْطَا,cariṯa
ڠࣤتَوْنِىْ,ṅětoni
حَاصِلْ,ẖaṣil
نَمْبَانِىْ,nambani
وَالُوْيَا,waluya
اَخِرَىْ,aḵire
دَاهُوْفَاكَىْ,daupake
تࣤمࣤنْ,těměn
نࣤڮَارَا,něgara
كࣤتُوْتُوكَانْ,kětutukan
رَعْيَةْ,ra'yat
بَاوَاهَىْ,bawahe
ࢮَائِرَاهَىْ,ḍairahe
فَࢮَا,paḍa
سࣤمَوْنَوْ,sěmono
دُوْرُوْڠ,duruṅ
فُوْوَاسْ,puas
اَمࣤرْڮَا,aměrga
ࢮَيْوَىْ,ḍewe
دُوْرُوْڠْ,duruṅ
مࣤرْلَوْءَاكࣤنْ,měrlo`akěn
مَڠْڮِيْهِىْ,maṅgihi
ۑُوْڮُوْهَاكَىْ,ñuguhake
اَنَڠِيْڠ,anaṅiṅ
مَالَهْ,malah
بࣤنْدُوْڠُوْنُوسْ,běnduṅunus
فࣤࢮَاڠْ,pěḍaṅ
فَاتَيْنِىْ,pateni
لَوْلَوْس,lolos
ڠَنْࢮُوْت,ṅanḍut
فِيْتُوْڠ,pituṅ
كَايَا,kaya
ڠَافَا,ṅapa
تَاڠِيْسَىْ,taṅise
فَوْتࣤرِىْ,potěri
فُوْيَاڠْ,puyaṅ
فَايِيْڠَىْ,payiṅe
چࣤرِيْتَاءَاكَىْ,cěrita`ake
اَنْتَارَا,antara
سُوْوَىْ,suwe
لَوْلَوْسَىْ,lolose
اَللّٰهْ,allāh
نُوْرُوْنَاكَىْ,nurunake
بَلَاءْ,bala`
رُوْفَا,rupa
فَاڮࣤرِيْڠ,pagěriṅ
لَارَا,lara
سُوْرَىْ,sure
اَيْسُؤْ,esu`
مَاتِىْ,mati
ڮَانْدَيْڠ,gandeṅ
اَنَانَىْ,anane
كࣤنَا,kěna
تُوْلَاءْ,tula`
مࣤڠْڮَالِيْه,měṅgalih
