language,pegon,latin
Jawa,الرُّسُلِ,ar-rusuli
Jawa,مَا,ma
Jawa,نُثَبِّتُ,nuṫabbitu
Jawa,بِهٖ,bihī
Jawa,فُؤَادَكَ,fuadaka
Jawa,وَعَنْ,wa'an
Jawa,سَعْدِ,sa'di
Jawa,ابْنِ,abni
Jawa,اَبِىْ,abi
Jawa,وَقَّاصٍ,waqqaṣin
Jawa,رَضِيَ,raḏiya
Jawa,الله,allāh
Jawa,عَنْهُ,'anhu
Jawa,اَنَّهُ,annahu
Jawa,كَانَ,kana
Jawa,يُعَلِّمُنَا,yu'allimuna
Jawa,مَغَازِيَ,maġaziya
Jawa,رَسُوْلِ,rasuli
Jawa,اللهِ,allāhi
Jawa,وَسَرَايَاهُ,wasarayahu
Jawa,فَيَقُوْلُ,fayaqulu
Jawa,يٰا,yā
Jawa,بُنَيَّ,bunayya
Jawa,هٰذِهٖ,hāḋihī
Jawa,شَرَفُ,śarafu
Jawa,اٰبَائِكُمْ,ābaikum
Jawa,فَلَا,pala
Jawa,تَنْسَوْا,tanso
Jawa,ذِكْرَهَا,ḋikraha
Jawa,الزَّيْنُ,az-zainu
Jawa,العِرَاقِيُّ,al-'iraqiyyu
Jawa,رَحِمَهُ,raẖimahu
Jawa,وَلْيَعْلَمِ,walya'lami
Jawa,الطَّالِبُ,aṯ-ṯalibu
Jawa,أَنَّ,anna
Jawa,السِّيَرَا,as-siyara
Jawa,تَجْمَعُ,tajma'u
Jawa,صَحَّ,ṣaẖẖa
Jawa,وَمَا,wama
Jawa,قَدْ,qad
Jawa,اَنْكَرَا,ankara
Jawa,وَقَالَ,waqala
Jawa,الْاِمَامُ,al-imamu
Jawa,اَحْمَدْ,aẖmad
Jawa,ابْنُ,abnu
Jawa,حَنْبَلٍ,ẖanbalin
Jawa,وَغَيْرُهُ,waġairuhu
Jawa,الاَئِمَّةِ,al-aimmati
Jawa,اِذَا,iḋa
Jawa,رَوَيْنَا,rawaina
Jawa,فِى,fi
Jawa,الْحَلَالِ,al-ẖalali
Jawa,وَالْحَرَامِ,wal-ẖarami
Jawa,شَدَّدْنَا,śaddadna
Jawa,وَ,wa
Jawa,الْفَضَائِلِ,al-faḏaili
Jawa,تَسَاهَلْنَا,tasahalna
Jawa,الْحَمْدُ,al-ẖamdu
Jawa,لِلّٰهِ,lillāhi
Jawa,وَالصَّلَاةُ,waṣ-ṣalatu
Jawa,وَالسَّلَامُ,was-salamu
Jawa,عَلٰى,'alā
Jawa,سَيِّدِنَا,sayyidina
Jawa,مُحَمَّدٍ,muẖammadin
Jawa,آلِهٖ,ālihī
Jawa,صَحْبِهٖ,ṣaẖbihī
Jawa,مَنْ,man
Jawa,وَالَاهُ,walahu
Jawa,وَبَعْدُ,waba'du
Jawa,وِيْوِيْت,wiwit
Jawa,كِيْتَا,kita
Jawa,بَوْڠصَا,boṅṣa
Jawa,اِيْنࢮَوْنِسِيَا,inḍonisia
Jawa,دَادَوْس,dados
Jawa,اِڠْكَڠْ,iṅkaṅ
Jawa,مࣤرْدِيْكَا,měrdika
Jawa,رُوْفِىْ٢نِيْفُوْن,rupi2nipun
Jawa,لَاجࣤڠْ,lajěṅ
Jawa,سَامِىْ,sami
Jawa,ڮِيْيَاتْ,giat
Jawa,نَالُوْرِىْ,naluri
Jawa,لࣤلُوْهُوْر٢,lěluhur2
Jawa,بَبَادْ٢دِيْڤُوْن,babad2dipun
Jawa,سِيْنَاهُوْ,sinau
Jawa,شࣤجَرَهْ٢,śějarah2
Jawa,دِيْفُوْن,dipun
Jawa,وُوْچَالَاكࣤنْ,wucalakěn
Jawa,اِڠْ,iṅ
Jawa,سࣤكَوْلَاهَانْ٢,sěkolahan2
Jawa,مَاوِىْ,mawi
Jawa,بَهَاسَا,bahasa
Jawa,اِنْࢮَوْنِسِيَا,inḍonisia
Jawa,دَائِرَهْ,dairah
Jawa,لَنْ,lan
Jawa,سَانَيْس٢اِيْفُوْن,sanes2ipun
Jawa,نَاڠِيْڠ,naṅiṅ
Jawa,بُوْكُوْ٢,buku2
Jawa,شࣤجَرَهْ,śějarah
Jawa,سَمْفُوْن,sampun
Jawa,سُوْمِيْيَارْ,sumiar
Jawa,اُتَوِىْ,utawi
Jawa,كَاوُوْچَالَاكࣤنْ,kawucalakěn
Jawa,مَدْرَسهْ٢,madrasah2
Jawa,فُوْنِيْكَا,punika
Jawa,سࣤبَاڮِيْهَانْ,sěbagian
Jawa,اَڮࣤڠْ,agěṅ
Jawa,بَوْتࣤنْ,botěn
Jawa,بَابْ٢اِڠْكَڠْ,bab2iṅkaṅ
Jawa,مَاڮࣤفَؤْاَنْ,magěpa`an
Jawa,كࣤلَايَانْ,kělayan
Jawa,اِيْفُوْن,ipun
Jawa,فَارَا,para
Jawa,سُوْنَنْ٢,sunan2
Jawa,فࣤمࣤدَارْ,pěmědar
Jawa,اَڮَامِىْ,agami
Jawa,اِسْلَامْ,islam
Jawa,اِنْدَوْنِسِيَا,indonisia
Jawa,عُمُوْم,'umum
Jawa,تَانَهْ,tanah
Jawa,خُصُوْص,ḵuṣuṣ
Jawa,مَوْڠكَا,moṅka
Jawa,سࣤجَاتَوْس,sějatos
Jawa,كِيْنَا,kina
Jawa,مِيْلَا,mila
Jawa,رَاجَا٢,raja2
Jawa,فࣤرْسَاسَتْ,pěrsasat
Jawa,مَيْه,meh
Jawa,سࣤدَايَا,sědaya
Jawa,تَنْسَهْ,tansah
Jawa,كَنْطِىْ,kanṯi
Jawa,دَيْنِيْڠ,deniṅ
Jawa,فࣤڠَنْجُوْر٢,pěṅanjur2
Jawa,فࣤرَامِيْلَا,pěramila
Jawa,سَڠْكِڠْ,saṅkiṅ
Jawa,وَوْنتࣤنْ,wontěn
Jawa,رِسَالَهْ,risalah
Jawa,اَلِيْت,alit
Jawa,فࣤنُوْلِيْس,pěnulis
Jawa,كࣤفَيْڠِيْن,kěpeṅin
Jawa,بَاࢮَيْ,baḍe
Jawa,ۑُوْلِيْك,ñulik
Jawa,سࣤكࣤࢮِيْك,sěkěḍik
Jawa,بَابْ٢,bab2
Jawa,مَڮࣤفَؤْاَنْ,magěpa`an
Jawa,سُوْنَنْ,sunan
Jawa,كَيْڠِيْڠَاكَڠْڮَىْ,keṅiṅakaṅge
Jawa,بُومْبُوْنِيْفُوْن,bumbunipun
Jawa,اُسْتَاذْ,ustaḋ
Jawa,مُوْچَالْ,mucal
Jawa,دَاتࣤڠْ,datěṅ
Jawa,تَلْمِيْذ٢اِيْفُوْن,talmiḋ2ipun
Jawa,سَانَيْس,sanes
Jawa,مُوْڮِىْ٢,mugi2
Jawa,وَوْنتࣤنَاڮِيْنَا,wontěnagina
Jawa,فَائِدَاهِيْفُوْن,faidaipun
Jawa,صَفَرُ,ṣaparu
Jawa,الْخَيْرِ,al-ḵeri
Jawa,١٣٧٢,1372
Jawa,بِشْرِىْ,biśri
Jawa,مُصْطَفٰى,muṣṯafā
Jawa,رَاتُوْ,ratu
Jawa,چࣤمْڤَا,cěmpa
Jawa,نَلِيْكَا,nalika
Jawa,كُوْرَاڠْ,kuraṅ
Jawa,لࣤوِيْه,lěwih
Jawa,تَهُوْن,taun
Jawa,١٣٠٠م,1300m
Jawa,كَڠْ,kaṅ
Jawa,جُوْمࣤنࣤڠْ,juměněṅ
Jawa,اِيْكُوْ,iku
Jawa,جࣤجُوْلُؤْ,jějulu`
Jawa,رَاجَا,raja
Jawa,كُوْنطَارَا,kunṯara
Jawa,كَافِرْ,kafir
Jawa,بِنَاطَارَا,binaṯara
Jawa,كَاڮُوْڠَنْ,kaguṅan
Jawa,فُوْتࣤرَا,putěra
Jawa,٣,3
Jawa,١,1
Jawa,دَارَاوَاتِىْ,darawati
Jawa,مُوْردَا,murda
Jawa,نِيْڠ,niṅ
Jawa,رُوْم,rum
Jawa,٢,2
Jawa,دَيْوِىْ,dewi
Jawa,چَوْندࣤرَا,conděra
Jawa,وُوْلَنْ,wulan
Jawa,رَادَيْن,raden
Jawa,چِيْڠكَارَا,ciṅkara
Jawa,كُوْچَاڤَا,kucapa
Jawa,سَالَهْ,salah
Jawa,سَاوِيْجِيْنَىْ,sawijine
Jawa,مُبَلِّغْ,muballiġ
Jawa,عَرَبْ,'arab
Jawa,اَسْمَا,asma
Jawa,سَيِّدْ,sayyid
Jawa,اِبْرَاهِيمْ,ibraim
Jawa,اَسْمَرْقَنْدِىْ,asmarqandi
Jawa,تࣤمبَىْ,těmbe
Jawa,مَشْهُوْر,maśhur
Jawa,كَارَانْ,karan
Jawa,اِبْرَاهِيْم,ibraim
Jawa,اَسْمَارَا,asmara
Jawa,رَاوُوْه,rawuh
Jawa,فࣤرْلُوْ,pěrlu
Jawa,تَبْلِيْغ,tabliġ
Jawa,ڠَاجَاءْ٢,ṅaja`2
Jawa,سَاڠْ,saṅ
Jawa,سُوْفَيَا,supaya
Jawa,كࣤرْصَا,kěrṣa
Jawa,ڠࣤرُوْڠكࣤبِىْ,ṅěruṅkěbi
Jawa,اَڮَامَا,agama
Jawa,كࣤرْسَانِيْڠ,kěrsaniṅ
Jawa,فࣤڠَيْرَانْ,pěṅeran
Jawa,مࣤلࣤبُوْ,mělěbu
Jawa,ڠَنْتِىْ,ṅanti
Jawa,اَدࣤكْ,aděk
Jawa,مَسْجِدْ,masjid
Jawa,اَنْࢮَاوُوْهَاكࣤنْ,anḍawuhakěn
Jawa,مَوْلَانَا,molana
Jawa,مࣤࢮَارَكࣤنْ,měḍarakěn
Jawa,اَخِيْر٢,aḵir2
Jawa,كَادَاهُوْفَكࣤنْ,kadaupakěn
Jawa,اَڠْسَالْ,aṅsal
Jawa,فُوْتࣤرَانَىْ,putěrane
Jawa,فࣤڠْڮُوْلُوْ,pěṅgulu
Jawa,چَوْندࣤرَاوُوْلَنْ,conděrawulan
Jawa,دَيْنَىْ,dene
Jawa,فࣤمْبَاجࣤڠْ,pěmbajěṅ
Jawa,مُوْردَانِڠْرُوْم,murdaniṅrum
Jawa,كَادَاهُوْفَاكࣤنْ,kadaupakěn
Jawa,فࣤرَابُوْ,pěrabu
Jawa,كَرْطَا,karṯa
Jawa,وِيجَايَا,wijaya
Jawa,مَجَافَاهِيْت,majafait
Jawa,دَادِىْ,dadi
Jawa,كَارَوْ,karo
Jawa,كَرْطَاوِيْجَايَا,karṯawijaya
Jawa,كَافࣤرْنَهْ,kapěrnah
Jawa,فࣤرِيْفَيْهَانْ,pěripehan
Jawa,ڮَرْوَا,garwa
Jawa,فࣤنْدِيْطَا,pěndiṯa
Jawa,رَادَينْ,raden
Jawa,رَحْمَةْ,raẖmat
Jawa,سِيْتِىْ,siti
Jawa,زَيْنَبْ,zenab
Jawa,وِيْجَايَا,wijaya
Jawa,اَكَيهْ,akeh
Jawa,بَاڠَةْ,baṅat
Jawa,كَاچَرِيْطَا,kacariṯa
Jawa,ڮَرْوَانَىْ,garwane
Jawa,فَادࣤمِىْ,paděmi
Jawa,اَرْيَادَمَارْ,aryadamar
Jawa,اَدِىْ,adi
Jawa,فَاتِىْ,pati
Jawa,فَلَيْمبَاڠْ,palembaṅ
Jawa,فُوْتࣤرِىْ,putěri
Jawa,هَادِىْ,hadi
Jawa,ڮَرْوَااَدِىْ,garwaadi
Jawa,دَايَانِيْڠرَاتْ,dayaniṅrat
Jawa,فࣤڠْڮِيڠْ,fěṅgiṅ
Jawa,لࣤمْبُوْفࣤتࣤڠْ,lěmbufětěṅ
Jawa,مࣤدُوْرَا,mědura
Jawa,ڮُوڮُورْ,gugur
Jawa,اِيْبُوْ,ibu
Jawa,فَانَارَاڮَا,fanaraga
Jawa,بࣤطَرَا,běṯara
Jawa,كَاتُوْڠ,katuṅ
Jawa,لُوَانُوْ,luanu
Jawa,بَاڮَلَيْنْ,bagalen
Jawa,اَسمَا,asma
Jawa,جَارَانْ,jaran
Jawa,ڤَنُوْلَيْه,panuleh
Jawa,سَمْفَاڠْ,samfaṅ
Jawa,مَدُوْرَا,madura
Jawa,مَالَيْهْ,maleh
Jawa,حَسَنْ,ẖasan
Jawa,تࣤمْبَىْ,těmbe
Jawa,اَخِيْر,aḵir
Jawa,فَتَحْ,pataẖ
Jawa,اِيَا,ia
Jawa,اِيْكِىْ,iki
Jawa,ڠࣤدࣤكَاكࣤنْ,ṅěděkakěn
Jawa,كࣤرَاجَاأَنْ,kěrajaan
Jawa,اِسْلاَمْ,islam
Jawa,كَاوِيْتَانْ,kawitan
Jawa,بِنْطَارَا,binṯara
Jawa,دࣤمَاءْ,děma`
Jawa,مُوْرِيْه,murih
Jawa,سَمْفُورْنَانِىْ,sampurnani
Jawa,چَارِيْتَا,carita
Jawa,چَوْبَا,coba
Jawa,دَاءْ,da`
Jawa,تࣤرَاڠَاكَىْ,těraṅake
Jawa,نَسَبْ٢بِىْ,nasab2bi
Jawa,بِنْ,bin
Jawa,سُوْرُوْه,suruh
Jawa,مَجَالࣤڠْكَا,majalěṅka
Jawa,مُوْندِىْ,mundi
Jawa,وَاڠِىْ,waṅi
Jawa,فࣤجَاجَارَانْ,pějajaran
Jawa,سَارِىْ,sari
Jawa,لَالِيَّانْ,laliyyan
Jawa,رَاوِيْس,rawis
Jawa,رࣤڠْڮَا,rěṅga
Jawa,جࣤڠْڮَالَا,jěṅgala
Jawa,طࣤبُوْ,ṯěbu
Jawa,لࣤمْبُوْ,lěmbu
Jawa,اَمِيْلُوْهُورْ,amiluhur
Jawa,رࣤسِىْ,rěsi
Jawa,ڮࣤنْطَيُوْ,gěnṯayu
Jawa,ڮَنْدِيْهَاوَانْ,gandihawan
Jawa,سࣤرِيْمَا,sěrima
Jawa,فُوڠْڮُوْڠ,fuṅguṅ
Jawa,سِيْلَاجَالَوْ,silajalo
Jawa,فَوْنچَا,ponca
Jawa,دࣤرِيْيَا,děria
Jawa,چِيْتࣤرَاسُوْمَا,citěrasuma
Jawa,سُوْمَاوِيْجِيْتࣤرَا,sumawijitěra
Jawa,ڮࣤنْدࣤرَايَانَا,gěnděrayana
Jawa,جَايَا,jaya
Jawa,اَمِيْجَايَا,amijaya
Jawa,دَرْمَا,darma
Jawa,هُوْدَايَانَا,hudayana
Jawa,ڤَارِىْ,pari
Jawa,كࣤسِيْت,kěsit
Jawa,اَوْڠكَا,oṅka
Jawa,اَرْجُوْنَا,arjuna
Jawa,ڤَنْࢮُوْ,panḍu
Jawa,ڠࣤسْطِيْنَا,ṅěsṯina
Jawa,هَابِىْ,habi
Jawa,وَاصَا,waṣa
Jawa,فُوْلَاصَارَا,fulaṣara
Jawa,سَاحࣤرِىْ,saẖěri
Jawa,سࣤكُوْتࣤرࣤمْ,sěkutěrěm
Jawa,سُوْتَفَا,sutafa
Jawa,مَنَاوَاسَا,manawasa
Jawa,مَارِڮࣤنَا,marigěna
Jawa,يَاڠْ,yaṅ
Jawa,تࣤرُوسْطِيْلِىْ,těrusṯili
Jawa,سࣤرِيْكَاتِىْ,sěrikati
Jawa,وِسْنُوْ,wisnu
Jawa,ڮُوْرُوْ,guru
Jawa,تُوْڠڮَالْ,tuṅgal
Jawa,وࣤنِيْڠ,wěniṅ
Jawa,وࣤنَڠْ,wěnaṅ
Jawa,نُورْرَاصَا,nurraṣa
Jawa,نُورُچَهْيَا,nurucahya
Jawa,نَبِىْ,nabi
Jawa,آدَمْ,ādam
Jawa,عَليْهِ,'alihi
Jawa,السَّلَامْ,as-salam
Jawa,كَاڮُوْڠَانْ,kaguṅan
Jawa,دُوْلُورْ,dulur
Jawa,اِسْحٰقْ,isẖāq
Jawa,اَسْفَادِىْ,asfadi
Jawa,عَبْدُ,'abdu
Jawa,الْمَجِيْدْ,al-majid
Jawa,مُحَمَّدْ,muẖammad
Jawa,جُمَادَى,jumade
Jawa,الْكُبْرٰى,al-kubrā
Jawa,زَيْنُ,zainu
Jawa,الْحُسَيْن,al-ẖusen
Jawa,الْعَالِمْ,al-'alim
Jawa,الْعَابِدِينْ,al-'abidin
Jawa,حُسَيْن,ẖusain
Jawa,فَاطِمَةْ,faṯimah
Jawa,بِنْتِ,binti
Jawa,اللّٰهْ,allāh
Jawa,صَلَّى,ṣalla
Jawa,اللّٰهُ,allāhu
Jawa,عَلَيْهِ,'alaihi
Jawa,سَلَّمْ,sallam
Jawa,اِبْنِ,ibni
Jawa,عَبْدِ,'abdi
Jawa,الْمُطَّلِبْ,al-muṯṯalib
Jawa,هَاشِمْ,haśim
Jawa,مَنَافْ,manaf
Jawa,قُصَيِّ,quṣayyi
Jawa,كِلَابْ,kilab
Jawa,مُرَّةْ,murrah
Jawa,كَعْبٍ,ka'bin
Jawa,لُؤَيٍّ,luayyin
Jawa,غَالِبْ,ġalib
Jawa,فِهْرٍ,fihrin
Jawa,مَالِكْ,malik
Jawa,النَّضَرْ,an-naḏar
Jawa,كِنَانَةْ,kinanah
Jawa,حُزَيْمَةْ,ẖuzaimah
Jawa,مُدْرِكَةْ,mudrikah
Jawa,اِلْيَاسْ,ilyas
Jawa,مُضَرْ,muḏar
Jawa,نِزَارْ,nizar
Jawa,مَعَدٍّ,ma'addin
Jawa,عَدْنَانْ,'adnan
Jawa,سَأْتࣤرُوْسَىْ,sa`těruse
Jawa,تࣤكَانْ,těkan
Jawa,اِسْمَاعِيْل,isma'il
Jawa,عَلَيْهِمَا,'alaihima
Jawa,نُوحْ,nuẖ
Jawa,اِدْرِيْس,idris
Jawa,اَنْوَاسْ,anwas
Jawa,شِيْث,śiṫ
Jawa,السّلَامْ,as-salam
Jawa,ڠَمْفِيْل,ṅamfil
Jawa,كࣤرَامَا,kěrama
Jawa,چَوْندࣤرَاوَاتِىْ,conděrawati
Jawa,اَرْيَا,arya
Jawa,تَيْجَا,teja
Jawa,طُوْبَانْ,ṯuban
Jawa,اَوْلَيْه,oleh
Jawa,٥,5
Jawa,شَرِيْعَةْ,śari'at
Jawa,مُطْمَئِنَّةْ,muṯmainnah
Jawa,حَفْصَةْ,ẖafṣat
Jawa,٤,4
Jawa,قَاسِمْ,qasim
Jawa,اُوْڮَا,uga
Jawa,كَرِيْمَةْ,karimat
Jawa,كِىْ,ki
Jawa,بَاڠْ,baṅ
Jawa,كُوْنِيْڠ,kuniṅ
Jawa,مُرْتَسِيَهْ,murtasiyah
Jawa,مُرْتَسِمَهْ,murtasimah
Jawa,جُمَادَىْ,jumade
Jawa,الْقَادِرْ,al-qadir
Jawa,تࣤمْبِىْ,těmbi
Jawa,ڮُوْنُوْڠ,gunuṅ
Jawa,جَاتِىْ,jati
Jawa,چࣤرْبَوْن,cěrbon
Jawa,سَارَةْ,sarat
Jawa,ڤَاكُوْ,paku
Jawa,ڮِيْرِىْ,giri
Jawa,مِيْسَانَنْ,misanan
Jawa,ڠَمْفَيلْ,ṅamfel
Jawa,سُوْرَابَيَا,surabaya
Jawa,حَاجِ,ẖaji
Jawa,عُثْمَانْ,'uṫman
Jawa,مَنْيُوْرَانْ,manyuran
Jawa,مَوْنࢮَالِيْكَا,monḍalika
Jawa,ڤࣤنْدِيْطَا,pěndiṯa
Jawa,ڠَمْفَيْل,ṅamfel
Jawa,اَمِيْر,amir
Jawa,ڠُوْدُوْڠ,ṅuduṅ
Jawa,تُوْمࣤڠْڮُوْڠ,tuměṅguṅ
Jawa,وِيْلَاتِكْطَا,wilatikṯa
Jawa,سُوْجِنَةْ,sujinat
Jawa,اَمِيْرحَاجِ,amirẖaji
Jawa,ۑَاهِىْ,ñahi
Jawa,ڮࣤدَىْ,gěde
Jawa,تَوْنࢮَالَنْ,tonḍalan
Jawa,خَلِيْفَةْ,ḵalifat
Jawa,كَرْطَايَاسَا,karṯayasa
Jawa,تَوْنࢮَا,tonḍa
Jawa,دِىْ,di
Jawa,تِيَاڠْ,tiaṅ
Jawa,سَكِڠْ,sakiṅ
Jawa,يَمَانْ,yaman
Jawa,مُرِيْدْاِيفُوْنْ,muridipun
Jawa,كَنْجࣤڠْ,kanjěṅ
Jawa,ڠَمْفَيلْ,ṅamfel
Jawa,كَاڮُوْڠَانْ,kaguṅan
Jawa,صُغْرَا,ṣuġra
Jawa,مُحْسِنْ,muẖsin
Jawa,سُونَنْ,sunan
Jawa,وِيْلِيْس,wilis
Jawa,ڠَمْفَيْل,ṅamfel
Jawa,مُرِيْداِيْفُوْن,muridipun
Jawa,كَنْجࣤڠْ,kanjěṅ
Jawa,اَمِيْر,amir
Jawa,حَمْزَهْ,ẖamzah
Jawa,مَلَاكَا,malaka
Jawa,دِىْ,di
Jawa,سَيِّدْ,sayyid
Jawa,كَاڮُوڠَانْ,kaguṅan
Jawa,دࣤرَاجَةْ,děrajat
Jawa,سࣤدَايُوْ,sědayu
Jawa,كࣤرَامَادَيْوِىْ,kěramadewi
Jawa,صَفِيَّةْ,ṣafiyyah
Jawa,فُوْتࣤرَانَيْ,putěrane
Jawa,كَنْجࣤڠْ,kanjěṅ
Jawa,فࣤڠَيْرَانْ,pěṅeran
Jawa,تࣤرࣤڠْڮَانَا,těrěṅgana
Jawa,سَنْدِىْ,sandi
Jawa,وُرْيَانْ,wuryan
Jawa,بَوْنَاڠْ,bonaṅ
Jawa,هِيْرَاةْ,hirat
Jawa,رَادَيْن,raden
Jawa,جَاكَنْدَارْ,jakandar
Jawa,دَيْوِيْ,dewi
Jawa,رُوْحِيْلْ,ruẖil
Jawa,فَاكُوْ,paku
Jawa,ڮِيْرِيْ,giri
Jawa,ڮࣤرْسِئْ,gěrsi`
Jawa,سࣤتࣤڠَهَىْ,sětěṅahe
Jawa,رِوَايَةْ,riwayat
Jawa,اَسْمَانَىْ,asmane
Jawa,عَيْنُ,'ainu
Jawa,الْيَقِينْ,al-yaqin
Jawa,فَاكُوْ,paku
Jawa,اِيْبُوْدَيْوِىْ,ibudewi
Jawa,سࣤكَرْࢮَاࢮُوْ,sěkarḍaḍu
Jawa,بࣤلَامْبَڠَانْ,bělambaṅan
Jawa,كࣤرَامَا,kěrama
Jawa,مَاسْ,mas
Jawa,ڤࣤرَابُوْ,pěrabu
Jawa,مِيْسَانِيْ,misani
Jawa,٣,3
Jawa,ڮُوْوَا,gua
Jawa,رَتْنَاوَاتِيْ,ratnawati
Jawa,بِنْطَارَادࣤمَاءْ,binṯaraděma`
Jawa,مُرْتَسِمَةْ,murtasimat
Jawa,فࣤفُوْتࣤرَا,pěputěra
Jawa,ڤُورْبَا,purba
Jawa,بَاڮُوسْ,bagus
Jawa,سِيْدَاكَالِىْ,sidakali
Jawa,رَادَيْنْ,raden
Jawa,كࣤنْࢮُوْرُهَانْ,kěnḍuruhan
Jawa,دَيْوِىْ,dewi
Jawa,رَاتِهْ,ratih
Jawa,كࣤلَاهِيْرَانْ,kělairan
Jawa,تُوڠْڮَالْ,tuṅgal
Jawa,رَامَا,rama
Jawa,سَيْجَىْ,seje
Jawa,هِيْسَهْ,hisah
Jawa,جَاكَنْدَارْ,jakandar
Jawa,فࣤرِيْفِهَانْ,pěripihan
Jawa,سُوْنَانْ,sunan
Jawa,بَوْنَڠْ,bonaṅ
Jawa,كَاڮُوْڠَنْ,kaguṅan
Jawa,الْجَلِيْلْ,al-jalil
Jawa,صُوْفِيَّهْ,ṣufiyyah
Jawa,رَاديْن,radin
Jawa,مَرَاتُوَانَىْ,maratuane
Jawa,نَوَاڠْ,nawaṅ
Jawa,سَاسِىْ,sasi
Jawa,تَارُوْب,tarub
Jawa,هِيْرَاهْ,hirah
Jawa,شَهِيْد,śaid
Jawa,كَالِىْ,kali
Jawa,جَاڮَا,jaga
Jawa,سَحُرْ,saẖur
Jawa,سَعِيْد,sa'id
Jawa,رُقَيَّةْ,ruqayyah
Jawa,مُرْيَا,murya
Jawa,سُوْجِيْنَةْ,sujinat
Jawa,سَنْتࣤرِىْ,santěri
Jawa,ڠَادِىْ,ṅadi
Jawa,لَاڠُوْ,laṅu
Jawa,ࢮࣤࢮُوْكُوْه,ḍěḍukuh
Jawa,بَيْهِىْ,behi
Jawa,قُدُوْس,qudus
Jawa,رُحِيْلْ,ruẖil
Jawa,جࣤڠْ,jěṅ
Jawa,جࣤنَارْ,jěnar
Jawa,جࣤفَارَا,jěfara
Jawa,اَوْرَا,ora
Jawa,بُوْفَاتِىْ,bupati
Jawa,نَاوَاڠْ,nawaṅ
Jawa,اَرُوْم,arum
Jawa,بَنْجَارَانْ,banjaran
Jawa,مُونْدِىْ,mundi
Jawa,اِيْيَاڠَىْ,iaṅe
Jawa,كَاڤِيْڠ,kapiṅ
Jawa,تࣤلُوْ,tělu
Jawa,سࣤدُوْلُوْر,sědulur
Jawa,كَاكُوْڠ,kakuṅ
Jawa,فَاتِيْهَىْ,patihe
Jawa,فَجَاجَارَانْ,pajajaran
Jawa,مࣤتَاهُوْن,mětaun
Jawa,رَانْࢮُوْكُوْنِيْڠ,ranḍukuniṅ
Jawa,ڮَالُوْه,galuh
Jawa,تَنْدُوْرَانْ,tanduran
Jawa,بَاعَةْ,ba'at
Jawa,فࣤنَڠْڮُوْڠَانْ,pěnaṅguṅan
Jawa,رَوْڠڮَا,roṅga
Jawa,لَاوَيْ,lawe
Jawa,لَاوَىْ,lawe
Jawa,سِيْرَا,sira
Jawa,وࣤنَاڠْ,wěnaṅ
Jawa,لِيْنَا,lina
Jawa,بَارِبِيْن,baribin
Jawa,مَارَاتُوَانَىْ,maratuane
Jawa,بَيْسَانَىْ,besane
Jawa,بَارِبِيْنْ,baribin
Jawa,اَيُوْ,ayu
Jawa,مَدُوْرࣤتْنَا,madurětna
Jawa,عَمْفَيْلْ,'amfel
Jawa,رَامَانَىْ,ramane
Jawa,تَارُوْبْ,tarub
Jawa,سِيْهْ,sih
Jawa,اَرُوْمْ,arum
Jawa,يَا,ya
Jawa,اِيْبُوْنَىْ,ibune
